Title,Count
AkamaiGHost,694790
nginx,222889
Apache httpd,204325
OpenSSH,200360
AWS ELB,156411
Microsoft IIS httpd,85560
Microsoft HTTPAPI httpd,61696
CloudFront httpd,57026
ciscoSystems,52979
Exim smtpd,39555
Hikvision IP Camera,38342
PPTP,29162
Remote Desktop Protocol,24839
ntpd,20930
MySQL,19349
Postfix smtpd,19257
Pure-FTPd,19108
BigIP,16001
3CX Phone System Management Console,13626
Kubernetes,12572
Plex,10815
cPanel,9653
Imunify360 Webshield,9297
net-snmp,9217
DrayTek Vigor Router,9145
lighttpd,8991
micro_httpd,8553
MikroTik bandwidth-test server,8208
BGP,7253
WHM,7065
Tengine,6713
OpenResty,6130
PostgreSQL,6069
Dropbear sshd,5831
Microsoft RPC Endpoint Mapper,5728
"Scientific-Atlanta, Inc.",5648
Broadcom Corporation,5388
 M5T SIP Stack/4.1.2.2,5026
CloudFlare,4996
LiteSpeed httpd,4888
Apache Tomcat/Coyote JSP engine,4682
Microsoft Exchange smtpd,4667
Minecraft,4518
Microsoft ftpd,4462
Microsoft Azure Application Gateway,4284
Azure Bastion,4200
Sophos User Portal,4180
Squid http proxy,4153
Outlook Web App,3660
SonicWall,3261
DrayTek Vigor2762 Series,3237
DrayTek Vigor2862 Series,3227
MikroTik,3213
VNC,3129
MikroTik Winbox,3049
Kong Gateway,2730
WinRM,2655
Home Assistant,2570
MailEnable smptd,2565
Zscaler Cloud Services,2536
MongoDB,2315
Check Point Firewall,2268
Kestrel,2157
MailEnable POP3 Server,2140
Jetty,1967
Dahua NVR,1947
OpenVPN Access Server CWS,1884
Multicraft ftpd,1879
SonicWALL firewall http config,1787
OneAccess,1778
ProFTPD,1672
Apache Tomcat,1599
Cisco router telnetd,1596
Boa Web Server,1581
ASUS Wireless Router RT-AC68U,1565
DrayTek Vigor2760 Series,1550
mDNS,1528
RunCloud Nginx,1504
DrayTek Vigor2860 Series,1407
Redis key-value store,1320
gSOAP soap,1273
MySQL X Protocol,1252
MQTT,1243
ASUS Wireless Router DSL-AX5400,1131
Genome Variation Server,1098
QNAP,1068
Mbedthis Appweb,1049
Salesforce,1049
ASUS AiCloud,1025
Sendmail,1014
Samba,986
Cisco IOS http config,977
Istio Service Mesh,966
alphapd,956
Splunk Cloud,946
Splunk Server,946
ASUS Wireless Router RT-AX88U,929
MiniServ,906
RealVNC Enterprise,900
Alibaba Cloud Object Storage Service,895
EdgePrism,894
EZproxy web proxy,864
Webmin,864
MikroTik RouterOS API Service,861
Serv-U ftpd,855
GoAhead Embedded Web Server,849
Portainer,811
Remedy AR System Server,771
Nextcloud,770
Prometheus Node Exporter,763
rsyncd,758
ASUS Wireless Router RT-AC86U,748
Apple remote desktop vnc,736
RabbitMQ,725
"Juniper Networks, Inc.",713
thttpd,712
ASUS Wireless Router DSL-AC68U,708
Node.js,699
NetBox smtpd,689
DrayTek Vigor2926 Series,682
ASUS Wireless Router GT-AX11000,681
ASUS Wireless Router ZenWiFi AX,680
Connectra Check Point Web Security httpd,678
Microsoft Exchange 2010 smtpd,678
SQL Server Browser Service,675
Ubiquiti AirRouter,670
Dahua DVR,666
Cross Web Server,665
ASUS Wireless Router RT-AX58U,661
mini_httpd,653
ASUS Wireless Router RT-AX82U,645
Blue Server,618
BaseHTTPServer,617
FPBX,608
Sophos SSL VPN User Portal,601
"HUAWEI Technology Co.,Ltd",588
ASUS Wireless Router RT-AX56U,570
Huawei Home Gateway,568
ASUS Wireless Router RT-AC88U,563
VMware ESXi,562
Grafana (Open Source),557
ASUS Wireless Router RT-AC59U V2,556
CherryPy httpd,550
ASUS Wireless Router RT-AX86U,539
Jenkins,525
Cisco Umbrella,524
ASUS Wireless Router RT-AX55,522
Netatalk,521
VMware Authentication Daemon,518
Linksys WRT45G modified dropbear sshd,514
SimpleHTTPServer,514
MS-SQL Server 2014 SP3,513
Erlang Port Mapper Daemon,507
GoAhead-Webs httpd,489
DrayTek Vigor2865 Series,479
lancom sshd,475
OpenVPN Access Server,463
ASUS Wireless Router RT-AX54HP,454
Microsoft ESMTP,428
TruVision NVR/DVR/IP Camera,428
Spotify Connect,426
Microsoft RPC Endpoint Mapper over HTTP,421
Lotus Domino httpd,420
GitLab Self-Managed,411
uc-httpd,402
Dahua DHI-NVR4208-8P-4KS2,397
AirPlay,389
Tableau Server,384
oftpd,371
Dahua XVR,370
Dahua DHI-NVR4108-8P-4KS2 2T,367
DrayTek Vigor130,366
DrayTek Vigor2133 Series,358
WebRTC,358
Kerio Connect Webmail,354
DrayTek Vigor2765 Series,352
MikroTik router ftpd,342
MS-SQL Server 2019 RTM,323
ASUS Wireless Router TUF-AX3000,321
Mosquitto,321
Microsoft IIS,318
Metabase,317
Tornado Web Server,309
Cisco PIX sanitized smtpd,308
uhttpd Web Server,306
Heimdal Kerberos,305
DrayTek Vigor2927 Series,288
ARK: Survival Evolved,286
Oracle TNS Listener,286
Netflix,283
Dahua DHI-NVR4108HS-8P-4KS2,282
CUPS (IPP),281
Dahua DHI-NVR4108HS-8P-4KS2/L,279
DrayTek Vigor2925 Series,277
airCube ISP,276
Amazon S3 httpd,274
Kerio Connect smtpd,260
ASUS Wireless Router RT-AX3000,259
Dahua DHI-NVR4104-P-4KS2 1T,258
Chromecast,256
"Fortinet, Inc.",252
HP iLO,250
Secure Computing Sidewinder firewall http admin,245
Wowza Streaming Engine,244
ASUS Wireless Router RT-AC5300,241
Windows 2003 Kerberos,237
H3C,235
InfluxDB,229
Cisco IronPort C160 firewall smtpd,228
"SonicWALL, Inc.",227
Control Web Panel (CWP),225
Firebird RDBMS,225
DrayTek Vigor2866 Series,224
Microsoft Windows RPC over HTTP,220
Apple Remote Desktop,216
ASUS Wireless Router TUF-AX5400,213
Boa HTTPd,213
Tomato WAP firmware httpd,212
LANCOM Systems,211
ASUS Wireless Router DSL-AX82U,210
WildFly,208
ChipPC Extreme httpd,206
