,jp,sg,kr,tw,my,th,vn,au
MikroTik RouterBoard 250GS httpd,0,0,0,0,0,54,0,0
ZTE ZXHN H198A V3.0 H198A_ETH_,0,0,0,0,0,5,0,0
MikroTik router ftpd,70,303,123,519,477,2219,4594,342
Hikvision IP Camera,19133,12421,150993,63349,49506,52751,342913,38342
ASUS Wireless Router RT-AX55,966,8691,1325,0,2069,56,170,522
Access Remote PC smtpd,139856,6,52,0,12,0,22,0
DrayTek Vigor Router,13,779,0,10053,118,223,16103,9145
Dahua DVR,252,368,8822,2527,3551,1587,17127,666
MikroTik RouterOS API Service,379,778,451,1277,814,5388,6299,861
MikroTik bandwidth-test server,8616,3056,19461,27396,5853,37414,25080,8208
MikroTik http proxy,21,51,48,132,58,497,199,72
ZTE ZXHN H198A,0,0,0,0,0,5469,0,0
MikroTik,413,1150,3733,2652,3613,11860,3027,3213
KB Vision DVR,0,0,0,0,0,0,37169,0
MikroTik Router OS,0,0,0,0,0,15,5,0
KB Vision XVR,0,0,0,0,0,0,15847,0
Avtech AVN801 network camera,376,1322,0,7715,5015,3885,2423,88
KB Vision NVR,0,0,0,0,0,0,13075,0
MikroTik Winbox,811,1558,1546,16663,2096,20245,18895,3049
DD-WRT milli_httpd,4293,125,1669,9886,48,133,166,155
