Title,Count
Apache httpd,1479020
nginx,743351
AkamaiGHost,640829
OpenSSH,560130
ciscoSystems,393261
AWS ELB,362995
Broadcom Corporation,347809
Postfix smtpd,243196
CloudFront httpd,197422
Access Remote PC smtpd,139856
Microsoft IIS httpd,101409
PPTP,98414
Remote Desktop Protocol,89556
MySQL,81708
net-snmp,76053
Microsoft HTTPAPI httpd,74324
Sendmail,67944
lighttpd,67402
NEC Corporation,41223
Squid http proxy,33187
Microsoft RPC Endpoint Mapper,31987
ntpd,23382
Ralink Linux UPnP IGD Project RT2880 IGD Version 1.00 RT2880 C,20776
ProFTPD,20429
Kubernetes,20317
Hikvision IP Camera,19133
thttpd,17460
Boa Web Server,16412
Pure-FTPd,16281
Cisco router telnetd,15714
WinRM,15190
PostgreSQL,15021
mini_httpd,14324
mDNS,13446
BigIP,13186
Exim smtpd,12850
OpenResty,12229
BGP,11981
VNC,11124
"HUAWEI Technology Co.,Ltd",11115
Minecraft,11042
Mosquitto,9970
Spotify Connect,9408
Apache Tomcat/Coyote JSP engine,8895
YAMAHA RT Series,8732
MikroTik bandwidth-test server,8616
Microsoft ftpd,7444
"Juniper Networks, Inc.",7056
Apache Tomcat,5476
Check Point Firewall,5010
Dropbear sshd,4524
Kong Gateway,4510
Microsoft RPC,4447
uhttpd Web Server,4432
EdgePrism,4349
DD-WRT milli_httpd,4293
Tengine,3923
Azure Bastion,3892
Microsoft Azure Application Gateway,3663
Chromecast,3638
MiniServ,3429
Steam Dedicated Server,3429
FreeBSD ftpd,3239
ASUS Wireless Router RT-AX3000,3184
Quagga routing software,3133
Jetty,3106
Apple AirPort,3040
Salesforce,2984
MySQL X Protocol,2980
General Instrument,2930
AirPlay,2847
Redis key-value store,2818
GoAhead-Webs httpd,2814
SonicWall,2814
rsyncd,2769
RTL8xxx EV-2009-02-06,2739
ASUS Wireless Router TUF-AX3000,2730
Zscaler Cloud Services,2699
QNAP,2698
CUPS (IPP),2663
Genome Variation Server,2528
MQTT,2387
ASUS AiCloud,2325
CloudFlare,2311
cPanel,2178
Check Point SVN foundation httpd,2080
Samba,2036
Imunify360 Webshield,1978
Netflix,1925
Boa HTTPd,1898
ARK: Survival Evolved,1894
MongoDB,1888
Cisco IOS http config,1803
Yaws httpd,1781
gSOAP soap,1702
Kestrel,1612
Netgear,1596
Webmin,1579
SonicWALL firewall http config,1517
Apple remote desktop vnc,1470
Istio Service Mesh,1455
ASUS Wireless Router TUF-AX5400,1445
SQL Server Browser Service,1436
Nginx Microsoft HTTPAPI httpd,1424
Wowza Streaming Engine,1370
Node.js,1345
WU-FTPD,1339
Heimdal Kerberos,1309
Panasonic AVC Server,1294
GitLab Self-Managed,1268
OpenVPN Access Server CWS,1262
Nextcloud,1253
ASUS Wireless Router RT-AC68U,1234
uc-httpd,1225
Netatalk,1191
Alibaba Cloud Object Storage Service,1139
