Title,Count
Chromecast,990925
Netflix,797864
net-snmp,478722
nginx,406058
OpenSSH,283264
MQTT,260772
Apache httpd,252037
lighttpd,199625
AkamaiGHost,197188
Hikvision IP Camera,150993
Microsoft IIS httpd,130264
AWS ELB,130239
PPTP,127845
Boa Web Server,78607
MySQL,71443
Dropbear sshd,68363
rsyncd,65830
"U.C. Davis, ECE Dept. Tom",65226
CloudFront httpd,60869
Remote Desktop Protocol,58472
Microsoft HTTPAPI httpd,47670
ciscoSystems,44243
ntpd,30499
GoAhead-Webs httpd,29207
mDNS,28578
Apache Tomcat/Coyote JSP engine,28108
Firebird RDBMS,26684
Linux SNMP multiplexer,26350
Broadcom Corporation,25906
OpenResty,23271
SmartXFilter,22379
GoAhead Embedded Web Server,20276
CUPS (IPP),20124
Microsoft RPC Endpoint Mapper,19657
MikroTik bandwidth-test server,19461
Dahua XVR,19404
TightVNC Java Viewer,19068
AirPlay,17894
Hydra,17826
Netatalk,17292
VNC,16907
mini_httpd,16202
LG webOS TV,16187
uc-httpd,15018
Echo,14669
Windows qotd,14343
Ralink router 1,14291
Pure-FTPd,11759
Spotify Connect,11537
Boa HTTPd,11515
BGP,11315
PostgreSQL,11001
rdate,10657
Postfix smtpd,10281
"Juniper Networks, Inc.",9816
Kubernetes,9488
WinRM,9386
gSOAP soap,9319
Microsoft ftpd,9307
Dahua DVR,8822
Swift,7762
ProFTPD,7655
thttpd,7645
Apache Tomcat,7214
Plex,7092
TFTP,6878
Virata-EmWeb,5788
openHAB,5505
Squid http proxy,5401
Oracle TNS Listener,5098
ASUS AiCloud,5091
Dahua HCVR,4937
MySQL X Protocol,4784
VMware Authentication Daemon,4586
Wowza Streaming Engine,4116
mt-daapd DAAP,3939
Sendmail,3916
ASUS Wireless Router RT-AX56U,3906
Jetty,3813
MikroTik,3733
Cisco IOS http config,3607
RealVNC Enterprise,3538
Famatech Radmin,3488
Pocket CMD telnetd,3303
Minecraft,3291
Node.js,3234
Dahua NVR,3156
VMware ESXi,3121
Linksys wireless-G WAP http config,3086
Tinyproxy,3068
"DASAN Co.,LTD.",2887
Redis key-value store,2830
PRAVIS,2664
MongoDB,2655
Genome Variation Server,2596
Mosquitto,2540
SonicWall,2531
Steam Dedicated Server,2415
Tengine,2252
Microsoft ESMTP,2206
Apple remote desktop vnc,2131
ASUS Wireless Router RT-AC68U,2116
MS-SQL Server 2000 SP4,2099
MS-SQL Server 2008 SP1,2076
Samsung UE55D7000 TV http config,2009
MS-SQL Server 2005 SP3,1961
Heimdal Kerberos,1852
BigIP,1844
Subversion,1793
SonicWALL firewall http config,1785
QNAP,1760
ASUS Wireless Router RT-AC58U,1724
Kong Gateway,1717
Aruba Instant,1679
DD-WRT milli_httpd,1669
MS-SQL Server 2008 R2 SP2,1658
RabbitMQ,1656
Jenkins,1655
"Samsung Electronics Co., LTD.",1646
Aruba Networks Inc,1606
Portainer,1605
Prometheus Node Exporter,1592
MikroTik Winbox,1546
Erlang Port Mapper Daemon,1541
Canon printer web interface,1532
Dahua-based XVR,1479
Vtun Virtual Tunnel,1472
Werkzeug httpd,1370
HP iLO,1353
EFM Networks ipTIME N104R-KTT 1,1350
ASUS Wireless Router RT-AX55,1325
Tornado Web Server,1321
Tuya,1314
MS-SQL Server 2014 RTM,1257
Apple AirPort,1241
Dahua DHI-XVR5104H,1148
"HUAWEI Technology Co.,Ltd",1139
Kestrel,1135
CloudFlare,1074
Texas Instruments,1068
GPRS Tunneling Protocol,1062
Home Assistant,1044
Cisco PIX sanitized smtpd,1039
GitLab Self-Managed,1037
Grafana (Open Source),1015
Allegro RomPager,1000
GoAhead-Webs embedded httpd,990
xinetd chargen,987
MS-SQL Server 2008 R2 RTM,983
MS-SQL Server 2000 SP3a,964
micro_httpd,946
ASUS Wireless Router RT-AC59U V2,942
Istio Service Mesh,932
Dahua DHI-XVR5104HS-S2,930
Dahua DH-XVR5104HS-I3,926
D-Link DLS-2750U ftp firmward update,838
Philips Hue Bridge v2 (BSB002),836
Microsoft Exchange smtpd,835
RealVNC,834
Exim smtpd,833
VMware Workstation,829
Cross Web Server,827
ClamAV,825
MS-SQL Server 2019 RTM,817
ASUS Wireless Router RT-AC88U,813
MS-SQL Server 2005 SP4,790
iKuai,746
Debut embedded httpd,742
ASUS Wireless Router RT-AX3000,739
ENM ENM,738
OpenVPN Access Server CWS,733
ASUS Wireless Router RT-AX88U,710
Synology DiskStation NAS ftpd,692
EdgePrism,691
BaseHTTPServer,684
GNU Inetutils FTPd,681
"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')",659
ASUS Wireless Router RT-AC750L,654
Check Point Firewall,632
SimpleHTTPServer,630
NetScreen sshd,619
Dahua DH-XVR5104H-I3,616
Cisco router telnetd,612
ASUS Wireless Router RT-AX82U,609
Samba,597
Microsoft Azure Application Gateway,588
Elastic,586
Zscaler Cloud Services,574
vsftpd,549
Dahua DHI-HCVR4104HS-S3,547
Dahua DH-XVR5108HS-I3,540
Dahua-based ERD-041BH-I,527
Sophos SSL VPN User Portal,524
Nextcloud,521
ASUS Wireless Router TUF-AX3000,509
MS-SQL Server 2012 RTM,504
ChipPC Extreme httpd,497
Microsoft RPC Endpoint Mapper over HTTP,497
InfluxDB,493
Dahua DH-XVR1B04H-I,487
WindWeb,486
Cisco router tftpd,482
EFM Networks ipTIME N604R 1,477
ZyXEL Communications Corp.,474
Xiaomi IoT,472
MS-SQL Server 2017 RTM,466
FortiGate Endpoint Control httpd,462
