Title,Count
AkamaiGHost,215789
Hikvision IP Camera,49506
Apache httpd,42915
nginx,38387
OpenSSH,30141
Tengine,27257
ciscoSystems,25109
Microsoft IIS httpd,19806
CloudFront httpd,14658
PPTP,11044
MySQL,10702
Exim smtpd,8696
VNC,7838
net-snmp,6860
Microsoft HTTPAPI httpd,5928
MikroTik bandwidth-test server,5853
Imunify360 Webshield,5210
Avtech AVN801 network camera,5015
Remote Desktop Protocol,4906
Postfix smtpd,4732
ntpd,4114
lighttpd,4033
Dropbear sshd,4009
Pure-FTPd,3769
MikroTik,3613
Dahua DVR,3551
Apache Tomcat,3308
Microsoft RPC Endpoint Mapper,2952
Boa Web Server,2528
Sophos User Portal,2364
Plex,2259
Boa HTTPd,2180
MikroTik Winbox,2096
ASUS Wireless Router RT-AX55,2069
Cross Web Server,1924
Microsoft ftpd,1825
Apache Tomcat/Coyote JSP engine,1747
Dahua XVR,1672
mini_httpd,1543
OpenResty,1537
alphapd,1513
cPanel,1488
Dahua DH-XVR1B08H,1459
ASUS AiCloud,1417
WHM,1328
SonicWall,1303
Home Assistant,1226
BigIP,1202
ASUS Wireless Router RT-AC86U,1174
MailEnable smptd,1110
WinRM,1028
uc-httpd,999
"HUAWEI Technology Co.,Ltd",949
Alibaba Cloud Object Storage Service,926
SonicWALL firewall http config,925
MailEnable POP3 Server,919
Genome Variation Server,899
Dahua DH-XVR5216AN-4KL-I2,895
Dahua DHI-XVR5216AN-S2,894
ProFTPD,894
GPRS Tunneling Protocol,829
MikroTik RouterOS API Service,814
Squid http proxy,775
Dahua DH-XVR1B16-I,774
ASUS Wireless Router RT-AC68U,755
ASUS Wireless Router ZenWiFi AX,751
Dahua DH-XVR5108H-I,747
SQL Server Browser Service,729
ASUS Wireless Router TUF-AX3000,696
Dahua DH-XVR5116H-I,692
ASUS Wireless Router RT-AX56U,687
Dahua DHI-NVR2108HS-8P-I,681
micro_httpd,666
ASUS Wireless Router RT-AX3000,655
Dahua DHI-XVR5216AN,652
Dahua DH-XVR5104HS-4KL-I2,649
RealVNC Enterprise,604
Dahua DHI-NVR4216-16P-4KS2,598
Dahua-based DHI-NVR5432-4KS2,598
mDNS,579
Dahua DHI-NVR2116HS-I,567
Dahua DHI-XVR4108HS-S2,552
Dahua NVR,535
BGP,532
ASUS Wireless Router RT-AC1200G+,528
Dahua DHI-NVR4216-16P-4KS2/L,528
FortiGate Endpoint Control httpd,511
ASUS Wireless Router GT-AX11000,490
H3C,489
MikroTik router ftpd,477
Microsoft Exchange smtpd,474
Cisco IOS http config,463
ASUS Wireless Router RT-AX82U,458
gSOAP soap,449
Linksys WRT45G modified dropbear sshd,444
Check Point Firewall,442
ASUS Wireless Router RT-AX86U,430
Dahua HCVR,419
VMware ESXi,419
ASUS Wireless Router RT-AC88U,417
PostgreSQL,414
ASUS Wireless Router RT-AX88U,388
ASUS Wireless Router RT-AC1300UHP,378
ASUS Wireless Router RT-AC5300,354
Cisco router telnetd,326
Netatalk,322
ASUS Wireless Router TUF-AX5400,320
MiniServ,320
Sophos SSL VPN User Portal,318
Mosquitto,315
GeoVision GeoHttpServer for webcams,304
MySQL X Protocol,293
ASUS Wireless Router GT-AC5300,286
RunCloud Nginx,286
GoAhead Embedded Web Server,283
Outlook Web App,282
VMware Authentication Daemon,270
Dahua DH-XVR1B08H-I,267
Webmin,261
MS-SQL Server 2012 RTM,251
Steam Dedicated Server,250
"Juniper Networks, Inc.",249
Jetty,245
Remedy AR System Server,244
GoAhead-Webs httpd,230
Dahua DH-XVR5216AN-X,225
"Ruijie Networks Co., Ltd. (formerly 'Start Network Technology Co., Ltd.')",223
ASUS Wireless Router RT-AC59U V2,217
ASUS Wireless Router ZenWiFi AX Mini,215
Firebird RDBMS,215
ASUS Wireless Router RT-AC66U B1,213
Kubernetes,205
D-Link DCS-936L,203
3CX Phone System Management Console,199
ASUS Wireless Router RT-AX92U,190
Dahua DH-XVR5108HS-X,190
Nextcloud,188
Minecraft,186
FileZilla ftpd,184
MS-SQL Server 2019 RTM,184
Oracle TNS Listener,174
QNAP,172
rsyncd,171
thttpd,171
Samba,169
kngx,168
Dahua-based DVR,167
Connectra Check Point Web Security httpd,164
GNU Inetutils FTPd,160
Prometheus Node Exporter,160
Dahua DH-XVR1B16H,159
Linksys wireless-G WAP http config,159
ASUS Wireless Router RT-AC58U,158
ASUS Wireless Router RT-N12HP_B1,158
IP Camera,154
Allegro RomPager,150
LiteSpeed httpd,149
Microsoft RPC Endpoint Mapper over HTTP,149
Dahua DH-XVR1B04H,148
Symantec pcAnywhere,148
RabbitMQ,144
Lotus Domino httpd,143
ASUS Wireless Router RT-AC67U,141
Redis key-value store,139
Windows 2003 Kerberos,139
MQTT,138
Sendmail,138
MS-SQL Server 2008 R2 SP2,136
MS-SQL Server 2017 RTM,132
Dahua-based NVR,129
Dahua DHI-XVR5116HS-S2,128
D-Link DCS-942LB1,124
Dahua DHI-XVR5108HS-S2,123
Barracuda Networks Spam Firewall smtpd,122
Mbedthis Appweb,122
MS-SQL Server 2000 SP4,121
DrayTek Vigor Router,118
MS-SQL Server 2014 RTM,117
ASUS Wireless Router RT-AX53U,115
MS-SQL Server 2016 SP1,114
Dahua DH-XVR1B08,112
MS-SQL Server 2008 R2 RTM,110
Erlang Port Mapper Daemon,109
Dahua DH-XVR5216AN-4KL-X,107
DrayTek Vigor2925 Series,107
"Fortinet, Inc.",107
Microsoft RPC,107
ZTE ZXHN H267A,106
ASUS Wireless Router ZenWiFi AC,101
Echo,99
Portainer,99
RealVNC Personal,95
ASUS Wireless Router GT-AC2900,94
Mini web server 1.0 ZTE corp 2005,94
D-Link DCS-942L,92
DirectAdmin,87
MS-SQL Server 2012 SP3,86
MS-SQL Server 2012 SP2,84
MS-SQL Server 2017 RTM+,84
Mongrel httpd,84
3Com,83
"SonicWALL, Inc.",82
ASUS Wireless Router RT-AC87U,81
CUPS (IPP),80
Dahua-based DH-XVR1B08H-I,80
Microsoft ESMTP,80
ASUS Wireless Router RT-AC55UHP,79
Virata-EmWeb,79
bftpd,79
ASUS Wireless Router,78
MongoDB,78
Control Web Panel (CWP),76
"U.C. Davis, ECE Dept. Tom",75
Windows qotd,75
Conexant-EmWeb,74
Microsoft IIS,74
ASUS Wireless Router RT-AC3200,72
GitLab Self-Managed,72
Microsoft Windows USA daytime,72
Netwave IP camera http config,72
TightVNC Java Viewer,71
CherryPy httpd,70
Dahua DH-XVR5116HS-X,70
Dahua DHI-XVR5216AN-4KL,70
Dahua DHI-XVR5816S,70
OpenVPN Access Server CWS,70
Dahua DHI-XVR5108HS,69
TFTP,67
MS-SQL Server 2012 SP1+,66
MS-SQL Server 2019 GDR1+,66
WatchGuard Technologies Inc.,66
ASUS Wireless Router RT-N18U,64
Huawei Home Gateway,64
Dahua DH-XVR5108HS-4KL-X,63
Werkzeug httpd,63
ASUS Wireless Router RT-N12D1,62
Dahua DHI-XVR4104HS,60
Dahua DHI-XVR5108HS-4KL,60
FreeBSD ftpd,60
Dahua DH-XVR7216A-4KL-X,59
EZproxy web proxy,59
ASUS Wireless Router RT-AC66U_B1,58
Dahua DH-XVR5816S-X,58
MS-SQL Server 2005 SP4,58
MikroTik http proxy,58
Ubiquiti AirRouter,58
Dahua DHI-XVR4116HS,57
Dahua-based XVR,57
Dahua DH-XVR5104HS-X,56
HP iLO,56
Axigen smtpd,55
Dahua DH-XVR4108HS-X,55
Talk Talk YouView set-top box http config,55
DrayTek Vigor2926 Series,54
SAProuter,54
Oracle XML DB Enterprise Edition httpd,53
Alt-N MDaemon mail server,52
MDaemon pop3d,52
Indy httpd,51
RealVNC,51
EdgePrism,50
ASUS Wireless Router RT-AC59U,49
Microsoft Windows RPC over HTTP,49
RMC,49
Apple remote desktop vnc,48
D-Link DCS-5222L,48
DD-WRT milli_httpd,48
Memcached,48
Dahua DHI-XVR5116HS,47
Node.js,47
