Title,Count
nginx,605308
OpenSSH,539588
Apache httpd,309063
AkamaiGHost,296683
AWS ELB,180154
MySQL,88074
Exim smtpd,76983
Remote Desktop Protocol,62459
CloudFront httpd,50231
Microsoft IIS httpd,47704
Microsoft HTTPAPI httpd,46969
Pure-FTPd,40952
Postfix smtpd,40666
Imunify360 Webshield,38006
Kubernetes,25564
OpenResty,24142
PostgreSQL,19601
ciscoSystems,16299
Microsoft RPC Endpoint Mapper,15539
Tengine,14620
cPanel,13806
Hikvision IP Camera,12421
PPTP,12334
Squid http proxy,10270
Kong Gateway,10184
WinRM,9822
lighttpd,9422
ASUS Wireless Router RT-AX55,8691
MongoDB,7733
RunCloud Nginx,6991
WHM,6124
ntpd,5818
CloudFlare,5718
Dropbear sshd,5609
Redis key-value store,5250
"HUAWEI Technology Co.,Ltd",5036
alphapd,4995
Apache Tomcat/Coyote JSP engine,4886
ASUS Wireless Router RT-AC1200G+,4261
LiteSpeed httpd,4163
net-snmp,4091
ASUS Wireless Router RT-AC2600,4080
Jetty,3944
ASUS Wireless Router ZenWiFi AC,3864
MySQL X Protocol,3587
BigIP,3458
Apache Tomcat,3359
RabbitMQ,3351
Microsoft Azure Application Gateway,3073
MikroTik bandwidth-test server,3056
Microsoft ftpd,2938
VNC,2903
Prometheus Node Exporter,2751
ASUS Wireless Router RT-AX88U,2592
OpenVPN Access Server CWS,2430
MQTT,2346
Node.js,2297
Istio Service Mesh,2274
MailEnable smptd,1977
Azure Bastion,1950
Erlang Port Mapper Daemon,1923
Jenkins,1885
Kestrel,1837
Minecraft,1795
Home Assistant,1785
MailEnable POP3 Server,1772
MiniServ,1740
Alibaba Cloud Object Storage Service,1733
Portainer,1726
ASUS AiCloud,1634
Zscaler Cloud Services,1593
Grafana (Open Source),1568
MikroTik Winbox,1558
mDNS,1522
ASUS Wireless Router ZenWiFi AX,1453
GitLab Self-Managed,1416
BGP,1402
Webmin,1380
SonicWall,1378
QNAP,1368
BaseHTTPServer,1349
Avtech AVN801 network camera,1322
ASUS Wireless Router RT-AC88U,1273
Cisco router telnetd,1184
ProFTPD,1168
MikroTik,1150
Check Point Firewall,1140
ASUS Wireless Router ZenWiFi XD6,1103
ASUS Wireless Router Lyra_Trio,1099
ASUS Wireless Router Lyra Trio,1080
ASUS Wireless Router RT-AX86U,1025
