Title,Count
AkamaiGHost,214854
Apache httpd,75284
nginx,68923
ciscoSystems,55998
Hikvision IP Camera,52751
OpenSSH,43827
MikroTik bandwidth-test server,37414
ZTE H8102E,32919
Microsoft IIS httpd,28799
Dropbear sshd,22843
ZTE web server 1.0 ZTE corp 2015,22766
ntpd,22678
MikroTik Winbox,20245
PPTP,18380
MySQL,17888
Remote Desktop Protocol,16910
Exim smtpd,15087
MikroTik,11860
Mini web server 1.0 ZTE corp 2005,10333
Microsoft RPC Endpoint Mapper,9951
lighttpd,9562
Microsoft HTTPAPI httpd,8417
net-snmp,8325
Postfix smtpd,6758
Squid http proxy,5860
ZTE ZXHN H198A,5469
Plex,5426
MikroTik RouterOS API Service,5388
Home Assistant,4878
VNC,4853
Watashi XVR,4838
Pure-FTPd,4655
Boa Web Server,4252
Dahua XVR,4239
Remedy AR System Server,3979
Avtech AVN801 network camera,3885
WinRM,3840
Boa HTTPd,3629
"HUAWEI Technology Co.,Ltd",3568
Cisco router telnetd,3424
OpenResty,3337
Tengine,3321
Microsoft ftpd,3137
uc-httpd,2636
ProFTPD,2591
RealVNC Enterprise,2356
MikroTik router ftpd,2219
VMware ESXi,2144
Genome Variation Server,2130
mini_httpd,2038
Dahua DH-XVR5116HS-X,1884
Dahua DH-XVR5108HS-X,1883
Apache Tomcat,1867
Apache Tomcat/Coyote JSP engine,1842
BGP,1721
VMware Authentication Daemon,1692
Broadcom Corporation,1664
Dahua DVR,1587
Cisco IOS http config,1565
PostgreSQL,1529
Sophos User Portal,1516
GoAhead-Webs httpd,1488
BigIP,1429
DirectAdmin,1292
micro_httpd,1277
Cross Web Server,1184
mDNS,1182
MiniServ,1147
Watashi DVR,1134
Webmin,1093
thttpd,1082
QNAP,966
Watashi HCVR,957
Dahua DH-XVR5104HS-X1,893
gSOAP soap,877
Dahua DHI-NVR2108HS-4KS2,872
Dahua DHI-XVR4108HS-S2,869
ZTE F688,842
Dahua DH-XVR5108HS-I3,816
MailEnable smptd,796
MailEnable POP3 Server,777
SQL Server Browser Service,765
Dahua DH-XVR4108HS-X,758
"Juniper Networks, Inc.",748
Imunify360 Webshield,742
Jetty,722
Samba,720
CloudFront httpd,666
Lotus Domino smtpd,637
Dahua K-NL416K,602
MQTT,582
Sendmail,575
Kubernetes,573
Check Point Firewall,566
MS-SQL Server 2008 R2 RTM,566
Wowza Streaming Engine,563
MS-SQL Server 2019 RTM,553
Microsoft Exchange smtpd,535
MongoDB,514
RealVNC,512
MikroTik http proxy,497
bytex,484
Dahua DH-XVR4116HS-I,468
ZTE F612,465
Netatalk,451
nPerf,435
MySQL X Protocol,431
rsyncd,417
Oracle TNS Listener,408
Dahua NVR,390
GoAhead Embedded Web Server,381
Minecraft,374
GPRS Tunneling Protocol,372
SonicWall,368
MS-SQL Server 2017 RTM,366
Prometheus Node Exporter,359
alphapd,354
Outlook Web App,340
HP iLO,337
MS-SQL Server 2014 RTM,323
Portainer,321
Nextcloud,308
Alibaba Cloud Object Storage Service,307
Redis key-value store,307
Mbedthis Appweb,306
Dahua DH-XVR4116HS-X,305
Lotus Domino httpd,301
Kong Gateway,292
Grafana (Open Source),287
cPanel,283
3CX Phone System Management Console,278
"U.C. Davis, ECE Dept. Tom",276
Realtek Semiconductor Corp. RTL8671 EV-2010-09-20,265
Microsoft RPC Endpoint Mapper over HTTP,263
Node.js,262
Dahua DHI-NVR5208-4KS2,259
MS-SQL Server 2012 RTM,255
"Ruijie Networks Co., Ltd. (formerly 'Start Network Technology Co., Ltd.')",254
Mosquitto,253
RabbitMQ,253
Erlang Port Mapper Daemon,252
Hydra,242
Dahua HCVR,239
SonicWALL firewall http config,237
Famatech Radmin,234
ASUS AiCloud,232
H3C,232
Werkzeug httpd,232
kngx,228
bftpd,224
