Title,Count
AkamaiGHost,213885
nginx,173378
Apache httpd,145544
PPTP,102413
OpenSSH,89278
Hikvision IP Camera,63349
Microsoft IIS httpd,54668
lighttpd,54531
Boa Web Server,47360
net-snmp,45516
Broadcom Corporation,37106
Microsoft RPC Endpoint Mapper,35681
ciscoSystems,32294
mini_httpd,31799
MikroTik bandwidth-test server,27396
CloudFront httpd,22439
hmhttpd,22135
Remote Desktop Protocol,20909
Dropbear sshd,19165
Microsoft HTTPAPI httpd,17220
Cross Web Server,16713
MikroTik Winbox,16663
mDNS,13554
Postfix smtpd,13285
Chromecast,13177
MySQL,12777
Ralink router 1,10302
uc-httpd,10180
DrayTek Vigor Router,10053
DD-WRT milli_httpd,9886
ASUS AiCloud,9585
ntpd,9252
VNC,8686
Samba,8322
Allegro RomPager,7962
Avtech AVN801 network camera,7715
GPRS Tunneling Protocol,7679
Linksys wireless-G WAP http config,7054
Netatalk,7012
General Instrument,6716
DrayTek Vigor2925 Series,6414
Spotify Connect,5766
ASUS Wireless Router RT-AC66U B1,5365
ASUS Wireless Router RT-AC86U,5351
QNAP,5316
DrayTek Vigor2926 Series,5160
Dahua XVR,4494
OpenResty,4465
Kubernetes,4412
micro_httpd,4035
Apache Tomcat/Coyote JSP engine,4000
DrayTek Vigor2120 Series,3709
BigIP,3606
ASUS Wireless Router RT-AC68U,3514
Dahua DH-XVR5108HS-X,3472
ASUS Wireless Router RT-AC1300UHP,3399
ASUS Wireless Router RT-AC58U,3316
DrayTek Vigor2133 Series,2943
ASUS Wireless Router RT-AX1800 Plus,2937
"HITRON Technology, Inc.",2927
Boa HTTPd,2911
GoAhead Embedded Web Server,2840
Pure-FTPd,2819
Microsoft ftpd,2802
ASUS Wireless Router ZenWiFi AX Mini,2675
rsyncd,2668
MikroTik,2652
Virata-EmWeb,2631
Dahua DVR,2527
ASUS Wireless Router RT-AX56U,2504
ASUS Wireless Router RT-N12+,2466
SonicWALL firewall http config,2426
ASUS Wireless Router RT-AX1800S,2420
ASUS Wireless Router RT-AX3000,2420
VMware Authentication Daemon,2411
PostgreSQL,2383
VMware ESXi,2345
ProFTPD,2252
WinRM,2245
ASUS Wireless Router ZenWiFi AC,2204
Microsoft RPC,2135
SonicWall,2119
Apache Tomcat,2016
DrayTek Vigor2912 Series,2000
alphapd,1994
Dahua DH-XVR5104HS-X1,1983
Exim smtpd,1983
Socks4A,1982
ASUS Wireless Router RT-AX86U,1928
BGP,1897
AirPlay,1867
DrayTek Vigor2927 Series,1860
GoAhead-Webs httpd,1839
Dahua DH-XVR5116HE-X,1793
ASUS Wireless Router ZenWiFi AX,1785
RaidenMAILD smtpd,1782
ASUS Wireless Router RT-N18U,1723
RealVNC Enterprise,1721
Microsoft Exchange smtpd,1700
Tengine,1700
gSOAP soap,1697
CUPS (IPP),1661
ASUS Wireless Router RT-AC1500G PLUS,1637
ASUS Wireless Router RT-AC53,1629
ASUS Wireless Router RT-AC51U,1607
Apple AirPort,1572
ASUS Wireless Router RT-AC1200,1568
Sophos User Portal,1554
Quick 'n Easy ftpd,1496
GeoVision GeoHttpServer for webcams,1413
RaidenMAILD pop3d,1402
ASUS Wireless Router RT-AC1200 V2,1372
Sendmail,1361
ASUS Wireless Router RT-AX92U,1351
ASUS Wireless Router RT-AX88U,1345
Dahua-based DD-6004,1342
Dahua DHI-XVR5108HS-S2,1302
MQTT,1290
ASUS Wireless Router TUF-AX3000,1286
Check Point SVN foundation httpd,1284
MikroTik RouterOS API Service,1277
Tenor Multipath Switch ftpd,1277
Dahua DH-XVR5104HS-X,1260
Dahua DH-XVR5216A-X,1218
Famatech Radmin,1206
Netflix,1205
Outlook Web App,1196
Squid http proxy,1191
Cisco IOS http config,1162
Minecraft,1162
ASUS Wireless Router RT-AX82U,1146
Istio Service Mesh,1133
TightVNC Java Viewer,1114
TOTOLINK N300RA 1,1111
ASUS Wireless Router TUF-AX5400,1092
ASUS Wireless Router RT-N12HP_B1,1059
Dahua DHI-XVR5104HS-S2,1048
Dahua-based DD-6008,1043
GoAhead-Webs embedded httpd,1024
SQL Server Browser Service,1020
Genome Variation Server,993
Home Assistant,955
Check Point Firewall,954
ASUS Wireless Router RT-AC52,936
Juniper Networks/Unisphere,896
Plex,891
MySQL X Protocol,886
mt-daapd DAAP,872
axhttpd Web Server,869
thttpd,868
Apple remote desktop vnc,867
Heimdal Kerberos,865
ASUS Wireless Router RT-AC1200G+,863
Dahua DHI-XVR5108HS,863
"D-Link Systems, Inc.",852
Tenda Wireless Router 1,840
Lotus Domino httpd,837
Glastopf honeypot,835
Dahua DH-XVR5104HS-I2,831
ASUS Wireless Router RT-AC1500UHP,818
DrayTek Vigor2135 Series,809
ASUS Wireless Router RT-AX68U,805
NETIS WF2409/WF2409D,791
TP-LINK WR740N WAP http config,791
ASUS Wireless Router RT-AC66U_B1,783
Dahua DHI-XVR5104HS,775
Quintum Tenor A800 VoIP gateway CDR telnetd,775
MongoDB,769
Hydra,766
D-Link DLS-2750U ftp firmward update,752
ASUS Wireless Router ZenWiFi XD6,746
Dahua DH-XVR5108HS-I2,738
Jetty,735
ASUS Wireless Router RT-AC1300GPLUS,733
MiniServ,724
DrayTek Vigor 2820 ADSL router ftpd,722
Mosquitto,719
Serv-U ftpd,717
TOTOLINK N150RA 1,682
ASUS Wireless Router RT-AC88U,681
Synology DiskStation NAS ftpd,667
Dahua DHI-XVR5116HE-S2,666
Dahua HCVR,652
Dahua DH-XVR5104HS-I3,628
FortiGate Endpoint Control httpd,628
ASUS Wireless Router ZenWiFi AC Mini,610
Electroline Equipment Inc.,599
ASUS Wireless Router ZenWiFi XD6S,596
TFTP,592
ASUS Wireless Router RT-N12D1,591
TOTOLINK A2004NS 1,590
Echo,584
ASUS Wireless Router RT-N14UHP,566
"U.C. Davis, ECE Dept. Tom",561
Dahua DH-XVR5108HS-I3,551
ASUS Wireless Router GT-AC2900,541
Dahua-based DD-6016,539
DrayTek Vigor2952 Series,523
MikroTik router ftpd,519
RTL8xxx EV-2009-02-06,512
Redis key-value store,509
oftpd,503
Dahua DH-XVR5108HS-4KL-X,495
Erlang Port Mapper Daemon,494
Microsoft ESMTP,493
Dahua DH-XVR5108HE-X,481
"Juniper Networks, Inc.",478
Zscaler Cloud Services,469
ASUS Wireless Router GT-AX11000,459
Dahua DH-XVR5104HS-4KL-X,458
SITA ADS,457
MS-SQL Server 2019 RTM,440
uhttpd Web Server,431
Wowza Streaming Engine,421
Webmin,419
Dahua DHI-XVR5116HE,417
ASUS Wireless Router RT-N600P,416
Dahua DH-XVR5116HS-X,413
DrayTek Vigor2960 Series,412
ASUS Wireless Router RT-AX1800HP,411
Prometheus Node Exporter,410
Dahua NVR,404
Xiaomi IoT,398
Mail2000 smtpd,392
D-Link DCS-936L,391
Aruba Instant,389
Dahua DHI-XVR5216A,386
ASUS Wireless Router RT-AC66U,385
iKuai,385
RealVNC,384
Moxa Nport,375
Dahua DHI-XVR5216A-S2,363
MailEnable POP3 Server,357
MailEnable smptd,356
ASUS Wireless Router RT-AX86S,351
ASUS Wireless Router Lyra Trio,348
Dahua-based XVR,345
Steam Dedicated Server,344
cPanel,343
GitLab Self-Managed,341
Node.js,339
MS-SQL Server 2012 RTM,337
Dahua DHI-XVR5108HS-4KL,335
ASUS Wireless Router RT-N66U,334
rdate,333
Dahua DH-XVR5116HS-I2,329
ChipPC Extreme httpd,323
Nextcloud,318
Resin Web Server,316
VMware Workstation,313
MS-SQL Server 2008 R2 RTM,312
Alt-N MDaemon mail server,311
Indy,311
Microsoft RPC Endpoint Mapper over HTTP,310
MDaemon pop3d,307
Connectra Check Point Web Security httpd,301
Dahua DHI-XVR5108HE-S2,301
H3C,299
Apple Remote Desktop,294
RabbitMQ,293
Dahua DHI-XVR5104HS-4M,292
MoxaHttp,288
bftpd,287
ASUS Wireless Router ZenWiFi Pro XT12,284
Tinyproxy,283
Firebird RDBMS,280
HttpFileServer httpd,278
Cisco router telnetd,276
GNU Inetutils FTPd,275
smbx,273
Tornado Web Server,272
TOTOLINK N500RDG 1,268
MS-SQL Server 2000 SP4,265
Dahua DH-XVR5116H-4KL-X,264
Gene6 ftpd,259
ASUS Wireless Router RT-AC5300,257
Dahua DHI-NVR5216-4KS2,249
Dahua DHI-XVR5108HE,249
HP iLO,249
Dahua DH-XVR5216AN-4KL-X,245
Windows qotd,244
MS-SQL Server 2014 RTM,242
ASUS Wireless Router RT-AC87U,235
MS-SQL Server 2008 R2 SP2,235
BaseHTTPServer,232
ASUS Wireless Router,229
Sampo DR-TW1508S,229
ASUS Wireless Router RT-AC1200_V2,226
Aruba Networks Inc,226
NoMachine NX Server remote desktop,226
FreeBSD ftpd,224
Microsoft Windows RPC over HTTP,223
Dahua-based 4CH_H.265_DVR,216
MS-SQL Server 2017 RTM,215
ASUS Wireless Router GT-AX6000,214
Dahua DHI-XVR5104HE,213
Portainer,213
Dahua-based N-8116-PF,207
MS-SQL Server 2019 GDR1+,207
WHM,204
D-Link DCS-2630L,202
D-Link DCS-942LB1,201
Oracle TNS Listener,200
ASUS Wireless Router Lyra_Trio,199
Debut embedded httpd,199
Mbedthis Appweb,191
Dahua-based 8CH_H.265_DVR,187
ASUS Wireless Router RT-AC55UHP,184
Dahua DH-XVR5116HS-I3,181
ZyXEL ZyWALL sshd,181
QNAP TS-231P TS-231P,178
Windows 2003 Kerberos,177
ASUS Wireless Router GT-AC5300,176
LG webOS TV,174
NetScreen sshd,172
Linksys WRT45G modified dropbear sshd,171
MS-SQL Server 2008 RTM,171
Dahua DH-XVR5432L-X,169
RealVNC Personal,165
Werkzeug httpd,165
Android Debug Bridge (ADB),164
TOTOLINK N300RT 1,164
ASUS Wireless Router ZenWiFi AX Hybrid,160
"D-Link DVS-4088S, DVS-5088S, or DVG-7062S VoIP gateway http config",159
Kestrel,158
Dahua DR-TW1504S,156
Elastic,156
Sampo DR-TW1504S,155
TwistedWeb,155
CloudFlare,154
Dahua-based HRHQA216G,153
IGD 1.00,153
Subversion,153
Dahua DH-XVR5104HE-X1,152
Dahua-based HRHQAS21616S,152
Dahua DHI-HCVR5108HS-S3,151
Dahua DHI-XVR5116H-4KL,151
Dahua DH/HCVR5108HS-V5/-AF-DVR-II-A/8-1,149
C-ICAP,144
Grafana (Open Source),142
TOTOLINK N150RT 1,142
IP Camera,141
DrayTek Vigor3220 Series,139
ASUS Wireless Router RT-AC3200,137
Cisco PIX sanitized smtpd,137
QNAP TS-231P,135
Dahua DHI-XVR5104HE-S2,134
Dahua-based 16CH_H.265_DVR,134
UW imapd,134
TeamViewer,133
Tuya,133
Dahua DH-XVR5216A-I2,132
InfluxDB,132
MikroTik http proxy,132
iperf3,132
Jenkins,131
DrayTek Vigor2915 Series,130
"Fortinet, Inc.",130
Dahua DHI-NVR5208-4KS2,129
Netgear broadband router or ZyXel VoIP adapter ftpd,129
RICOH Co. Ltd.,129
ASUS Wireless Router RT-AC56U,127
EZproxy web proxy,127
Nepenthes HoneyTrap fake vulnerable ftpd,125
Pulse Secure,125
Rhinosoft Serv-U httpd,125
D-Link DCS-942L,122
Dahua DHI-HCVR5104HS-S3,122
Docker Registry HTTP API,122
SAProuter,121
Dahua DH-XVR7216A-4KL-X,119
OpenVPN Access Server CWS,118
Quagga routing software,117
"NetScreen Technologies, Inc.",115
WU-FTPD,115
Dahua DHI-XVR5216AN-4KL,114
Dahua DH-XVR5104HE-X,113
xinetd chargen,113
ASUS Wireless Router RT-AC54U,112
TOTOLINK C100RT 1,112
Tableau Server,111
openHAB,108
"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')",107
QNAP TS-219P II TS-219P II,107
MS-SQL Server 2008 R2 SP3,106
Canon printer web interface,104
D-Link DIR-850L WAP http config,104
Sampo DR-TW1516E,104
TP-LINK WR841N WAP http config,103
CherryPy httpd,102
Dahua-based DH-XVR5104HS-X1,102
Cisco router tftpd,101
Dahua DH-XVR5108HS-4KL-I2,101
ASUS Wireless Router RT-N16,100
MS-SQL Server 2016 RTM,99
vsftpd,99
Dahua DHI-NVR5432-4KS2,98
QNAP TS-231P2,98
QNAP TS-469L TS-469L,98
TwonkyMedia UPnP,98
ASUS Wireless Router RT-AC55U,97
Qpopper pop3d,97
ASUSTeK Computer Inc. RT-AC53 3.0.0.4.380,96
3CX Phone System Management Console,95
Dahua DH-XVR7108HE-4KL-X,95
Microsoft IIS,95
QNAP TS-231P2 TS-231P2,95
ASUS Wireless Router BLUE CAVE,94
QNAP TS-219P II,94
WildFly,94
Epson printer httpd,93
KYOCERA Corporation,93
MS-SQL Server 2017 RTM+,91
Kangle Web Server,90
Dahua DH-XVR5108HS-4KL-I3,89
TOTOLINK N300R+ 1,89
Tridium Niagara httpd,88
Asterisk Call Manager,87
Dahua DH-XVR5104HS-4KL-I2,87
MS-SQL Server 2014 SP1,87
Niagara Fox,85
OpenFlow,85
QNAP TS-269 Pro TS-269 Pro,85
Synology DS918+ 6.2-25556,85
Dahua-based HRHQA2168S,83
D-Link DCS-5222L,82
Dahua-based DJS-SXL104S,82
SonicWALL SSL-VPN http proxy,82
ASUSTeK Computer Inc. RT-N14UHP 3.0.0.4.376,80
Rex media encoder http config,80
Synology DS718+ 6.2-25556,80
Android Debug Bridge,79
Dahua DH-XVR5104HS-4KL-I3,78
Dahua DH-XVR5232AN-X,78
Lotus Domino POP3 server,78
QNAP TS-269 Pro,78
Dahua DH/HCVR5116HS-V5/-AF-DVR-II-A/16-1,76
Dahua LD-X4015HS-I3,76
